Participant,T1,T2,T3,T4,T5,T6,T7,T8,SUM,Calculated_Score,Final_Score
BNC01,0,0.5,1,0,0.5,1,0,0,3,37.5,37.5
BNC02,1,1,1,1,1,1,1,1,8,100,100
BNC03,1,1,1,0.5,0,0.5,1,1,6,75,75
BNC04,1,0.5,1,0.5,1,1,0.5,1,6.5,81.25,81.25
BNC05,1,1,1,1,0.5,1,1,1,7.5,93.75,93.75
BNC06,1,0.5,1,0.5,0,0,0.5,1,4.5,56.25,56.25
BNC07,1,0,0,0.5,1,1,1,1,5.5,68.75,68.75
BNC08,1,0.5,0.5,0,0.5,0,1,1,4.5,56.25,56.25
BNC09,1,0,0.5,1,0.5,1,0,1,5,62.5,62.5
BNC10,1,0,0,0,0.5,0,0,0.5,2,25,25
BNC11,1,1,1,1,0.5,1,1,1,7.5,93.75,93.75
BNC12,1,1,1,1,1,1,1,1,8,100,100
BNC13,1,0,1,0.5,0,0,1,1,4.5,56.25,56.25
BNC14,1,0.5,1,0,0.5,1,0.5,1,5.5,68.75,68.75
BNC15,1,0,0.5,0.5,0.5,1,0.5,1,5,62.5,62.5
BNC16,0,0.5,0.5,0,0,0,0,0,1,12.5,12.5
BNC17,0.5,1,0,0.5,0,0,0,1,3,37.5,37.5
BNC18,1,0.5,1,0,0,1,1,1,5.5,68.75,68.75
BNC19,1,0.5,1,1,0,1,1,1,6.5,81.25,81.25
BNC20,1,0.5,1,0.5,1,0,0.5,1,5.5,68.75,68.75
BNC23,1,1,1,1,0,1,1,1,7,87.5,87.5
BNC24,1,1,1,0,0,1,1,1,6,75,75
BNC25,0,0.5,0,0,0,1,0,0.5,2,25,25
BNC26,1,1,0.5,1,0.5,1,0.5,1,6.5,81.25,81.25
BNC27,1,1,1,1,1,0.5,0.5,1,7,87.5,87.5
BNC28,1,0,1,1,0,0.5,0.5,1,5,62.5,62.5
BNC29,1,0,0,0,1,1,0.5,1,4.5,56.25,56.25
BNC30,1,1,1,1,1,1,1,1,8,100,100
BNC31,1,0,1,0.5,0,0.5,1,1,5,62.5,62.5
BNC32,0,1,1,1,0,0.5,0.5,0,4,50,50
BNC33,1,1,1,0.5,1,1,0.5,1,7,87.5,87.5
BNC34,1,1,1,1,0.5,0.5,0.5,0.5,6,75,75
BNC35,1,1,1,1,0,1,0.5,1,6.5,81.25,81.25
BNC36,1,0,0.5,1,0,1,0,1,4.5,56.25,56.25
BNC37,0,0,0.5,0.5,0.5,0,0,0,1.5,18.75,18.75
BNC39,1,1,1,1,0.5,0.5,1,0.5,6.5,81.25,81.25
BNC40,0.5,1,0,0,0,0,0,0,1.5,18.75,18.75
BNC41,1,1,0.5,0.5,0,1,0.5,1,5.5,68.75,68.75
BNC42,1,0.5,1,0.5,1,1,0.5,1,6.5,81.25,81.25
BNC43,0.5,0,0.5,0.5,0,0.5,0.5,0,2.5,31.25,31.25
BNC44,0.5,1,0,0.5,0,0,0.5,0,2.5,31.25,25
BNC45,1,1,1,0,0,1,1,1,6,75,75
BNC46,1,0,0,0,0,0,1,0,2,25,25
BNC47,0,0.5,0.5,0.5,0,0,0,0,1.5,18.75,18.75
BNC50,1,1,1,1,1,1,0.5,1,7.5,93.75,93.75
BNC51,1,1,1,1,1,1,0.5,1,7.5,93.75,93.75
BNC52,1,1,1,1,1,1,0.5,1,7.5,93.75,93.75
NAV053,0.5,0,0.5,0.5,0,0,0,0,1.5,18.75,18.75