,Participant,Block_num,X,Z,Target_Name
7315,BNC02,3,0,-4.1,Quattroki Restaurant
7350,BNC02,3,-0.2004376,1.657556,Quattroki Restaurant
7387,BNC02,3,-0.1099245,7.442597,Quattroki Restaurant
7427,BNC02,3,-0.06898022,12.84225,Quattroki Restaurant
7467,BNC02,3,0.1428449,17.84438,Quattroki Restaurant
7503,BNC02,3,0.7225474,23.01517,Quattroki Restaurant
7537,BNC02,3,1.196146,28.27768,Quattroki Restaurant
7568,BNC02,3,1.490235,33.5453,Quattroki Restaurant
7600,BNC02,3,1.706013,38.95475,Quattroki Restaurant
7633,BNC02,3,1.740873,44.22395,Quattroki Restaurant
7665,BNC02,3,1.497283,49.51901,Quattroki Restaurant
7701,BNC02,3,1.185401,54.63326,Quattroki Restaurant
7740,BNC02,3,0.7585379,58.95192,Quattroki Restaurant
7810,BNC02,3,0.5322394,62.76777,Quattroki Restaurant
7865,BNC02,3,-0.06984091,65.4364,Quattroki Restaurant
7945,BNC02,3,-0.8346621,68.24419,Quattroki Restaurant
8036,BNC02,3,-1.553796,70.94434,Quattroki Restaurant
8129,BNC02,3,-2.565874,73.26424,Quattroki Restaurant
8244,BNC02,3,-6.36777,74.72763,Quattroki Restaurant
8276,BNC02,3,-10.22759,76.39074,Quattroki Restaurant
8312,BNC02,3,-14.18867,77.87212,Quattroki Restaurant
8355,BNC02,3,-18.1927,78.716,Quattroki Restaurant
8398,BNC02,3,-22.66129,78.82071,Quattroki Restaurant
8452,BNC02,3,-26.92949,78.59499,Quattroki Restaurant
8531,BNC02,3,-30.97628,78.17474,Quattroki Restaurant
8572,BNC02,3,-34.96345,77.84958,Quattroki Restaurant
8663,BNC02,3,-39.05422,77.4502,Quattroki Restaurant
8758,BNC02,3,-43.16043,76.64183,Quattroki Restaurant
420,BNC02,3,0,-4.1,Automobile shop
472,BNC02,3,-0.6613238,-7.957365,Automobile shop
577,BNC02,3,-1.746268,-11.82908,Automobile shop
623,BNC02,3,-6.642515,-14.58094,Automobile shop
687,BNC02,3,-11.57935,-16.88969,Automobile shop
722,BNC02,3,-16.99145,-16.86192,Automobile shop
760,BNC02,3,-22.50702,-16.82157,Automobile shop
872,BNC02,3,-27.92739,-16.66213,Automobile shop
919,BNC02,3,-31.2979,-11.86735,Automobile shop
961,BNC02,3,-34.57241,-7.353673,Automobile shop
999,BNC02,3,-37.15818,-2.383864,Automobile shop
1034,BNC02,3,-39.28574,2.472172,Automobile shop
1079,BNC02,3,-41.23537,7.349834,Automobile shop
1175,BNC02,3,-43.3414,12.1177,Automobile shop
1303,BNC02,3,-47.65147,13.95572,Automobile shop
3897,BNC02,3,0,-4.1,Bank
3935,BNC02,3,0.7219623,-0.0767107,Bank
4031,BNC02,3,1.585294,3.578804,Bank
4209,BNC02,3,3.024821,6.704625,Bank
4258,BNC02,3,9.74614,9.074585,Bank
4322,BNC02,3,16.52164,11.28267,Bank
4363,BNC02,3,21.93659,10.34928,Bank
4468,BNC02,3,27.02967,9.104704,Bank
4513,BNC02,3,29.99232,12.98468,Bank
4595,BNC02,3,32.60944,16.82019,Bank
4700,BNC02,3,33.72005,21.3812,Bank
2699,BNC02,3,0,-4.1,Fire Station
2749,BNC02,3,-0.6255959,2.602922,Fire Station
2794,BNC02,3,-0.6210027,9.145838,Fire Station
2840,BNC02,3,0.1021526,15.21048,Fire Station
2877,BNC02,3,0.8420491,21.21261,Fire Station
2915,BNC02,3,1.535174,27.29143,Fire Station
2954,BNC02,3,1.945613,33.35657,Fire Station
2990,BNC02,3,2.176221,39.24329,Fire Station
3024,BNC02,3,2.300709,45.0882,Fire Station
3062,BNC02,3,2.449402,50.9878,Fire Station
3102,BNC02,3,2.506093,56.90358,Fire Station
3181,BNC02,3,2.576202,62.77384,Fire Station
3263,BNC02,3,2.433359,68.3142,Fire Station
3433,BNC02,3,2.766326,73.71554,Fire Station
3542,BNC02,3,9.466969,73.79753,Fire Station
3651,BNC02,3,15.62741,74.23232,Fire Station
8993,BNC02,3,0,-4.1,High School
9038,BNC02,3,0.6659186,1.431013,High School
9105,BNC02,3,1.849339,6.451151,High School
9210,BNC02,3,3.86702,10.12565,High School
9242,BNC02,3,10.3933,9.807206,High School
9276,BNC02,3,17.07301,10.14061,High School
9307,BNC02,3,23.76685,10.70598,High School
9338,BNC02,3,30.29389,11.46077,High School
9376,BNC02,3,36.78669,12.25693,High School
9410,BNC02,3,43.25986,12.81116,High School
9445,BNC02,3,49.65281,13.2449,High School
9513,BNC02,3,56.07281,13.6585,High School
9608,BNC02,3,62.38107,14.55528,High School
9642,BNC02,3,64.64012,20.40454,High School
9671,BNC02,3,66.23256,26.4643,High School
9705,BNC02,3,67.46798,32.64915,High School
9742,BNC02,3,68.33875,38.82172,High School
9773,BNC02,3,68.26893,44.72681,High School
9806,BNC02,3,67.95686,50.50185,High School
9890,BNC02,3,67.0747,55.93176,High School
9977,BNC02,3,66.4299,60.33917,High School
5154,BNC02,3,0,-4.1,Pawn Shop
5193,BNC02,3,-0.785949,-8.713334,Pawn Shop
5269,BNC02,3,-1.652847,-11.99027,Pawn Shop
5304,BNC02,3,-6.708728,-13.99145,Pawn Shop
5343,BNC02,3,-11.84957,-16.00489,Pawn Shop
5378,BNC02,3,-16.80825,-17.87455,Pawn Shop
5424,BNC02,3,-21.61167,-19.64926,Pawn Shop
5501,BNC02,3,-25.9591,-21.16987,Pawn Shop
5615,BNC02,3,-29.2937,-22.96828,Pawn Shop
5738,BNC02,3,-31.47984,-25.66087,Pawn Shop
5843,BNC02,3,-29.74445,-30.23013,Pawn Shop
6098,BNC02,3,0,-4.1,Pizzeria
6135,BNC02,3,0.6580296,1.481547,Pizzeria
6213,BNC02,3,1.727351,6.821916,Pizzeria
6300,BNC02,3,3.190079,9.387583,Pizzeria
6342,BNC02,3,8.920404,9.716584,Pizzeria
6379,BNC02,3,14.90506,9.715518,Pizzeria
6417,BNC02,3,20.78905,10.00719,Pizzeria
6455,BNC02,3,26.3601,10.88151,Pizzeria
6489,BNC02,3,31.84048,11.93765,Pizzeria
6522,BNC02,3,37.16268,12.80041,Pizzeria
6566,BNC02,3,42.36832,12.98069,Pizzeria
6656,BNC02,3,47.20399,12.60047,Pizzeria
6698,BNC02,3,51.78776,12.61561,Pizzeria
6780,BNC02,3,56.43429,12.70345,Pizzeria
6851,BNC02,3,60.80401,13.30673,Pizzeria
6906,BNC02,3,63.09572,17.8601,Pizzeria
7024,BNC02,3,65.06401,22.19597,Pizzeria
7144,BNC02,3,61.94686,25.89629,Pizzeria
1562,BNC02,3,0,-4.1,Police station 
1596,BNC02,3,0.5065561,0.677072,Police station 
1708,BNC02,3,1.232925,5.506595,Police station 
1790,BNC02,3,6.339029,8.482664,Police station 
1829,BNC02,3,12.48484,8.794802,Police station 
1862,BNC02,3,18.35998,8.797982,Police station 
1901,BNC02,3,24.08494,8.773092,Police station 
2021,BNC02,3,29.56887,8.598727,Police station 
2064,BNC02,3,31.30771,2.93463,Police station 
2103,BNC02,3,33.46993,-2.686271,Police station 
2193,BNC02,3,35.42683,-8.2514,Police station 
2231,BNC02,3,40.24111,-12.33922,Police station 
2334,BNC02,3,44.82919,-16.71498,Police station 